error,likelihood,model,obj
0.033869731554953576,-0.4549112692318817,correct,NH
0.04824895905212844,-0.7517907799291971,correct,RI
0.0723264452450972,-27.5578238658662,correct,MA
0.07280020710168765,0.9469940545042266,correct,VT
0.048147658360967314,-37.45382435914635,correct,ME
0.169414119311101,-150.0980752475042,correct,CT
0.27846798445609705,-29.125853259755395,no_confounding,NH
0.2294195061755802,-37.82075417344151,no_confounding,RI
0.5603080720193518,-224.5450559518146,no_confounding,MA
0.22041563240545078,-24.975494556385197,no_confounding,VT
0.2650789205829674,-41.493788364158505,no_confounding,ME
0.7136446736391158,-277.234835573004,no_confounding,CT
0.11580949006092356,-5.218615526999226,no_objects,NH
0.13696170833154092,0.10367821457665992,no_objects,RI
0.4375422094984856,-29.057284503055808,no_objects,MA
0.2748785916148631,-0.7347615251225668,no_objects,VT
0.19294232246277307,-16.92799354860878,no_objects,ME
0.48388766436402497,-25.710410755445167,no_objects,CT
0.3392918155944115,-624.1273892666061,GP_per_object,NH
0.1991363061529062,-681.0016647860856,GP_per_object,RI
0.13209441151482065,-1.540830620332179,GP_per_object,MA
0.08632822447755038,-18.510377237695938,GP_per_object,VT
0.2795309123835208,-362.8790699137611,GP_per_object,ME
0.3938239344745019,-13.933518928777389,GP_per_object,CT
0.3048902513623692,-0.44173739818761915,MLM,NH
0.18561526102206422,-0.3410920347272316,MLM,RI
0.5596076513481649,-0.8394993097523907,MLM,MA
0.07395307450100001,-0.294289498077155,MLM,VT
0.23482986229392358,-0.3759021612987363,MLM,ME
0.6763032617048567,-1.0652948224610672,MLM,CT
0.25603546332903016,-0.43064041191328556,MLM_offset,NH
0.19070041720582978,-0.3880473320803474,MLM_offset,RI
0.5092449474588966,-0.7498171634454449,MLM_offset,MA
0.07745721509104332,-0.3516296864063452,MLM_offset,VT
0.20844523988934782,-0.40116716212799425,MLM_offset,ME
0.6821073974776628,-1.0675075960247402,MLM_offset,CT
